Record_ID,Timestamp,Scenario,Machine_ID,Machine_Type,Machine_Model_Class,Engine_Hours,Machine_Age,Engine_Temperature,Hydraulic_Temperature,Machine_Speed,Fuel_Consumption,Machine_Health_Score,Engine_Load_Percentage,Operator_ID,Experience_Level,Years_Experience,Operating_Shift,Historical_Efficiency,Historical_Idle_Time,Training_Score,Previous_Safety_Events,Operator_Skill_Score,Load_Weight,Load_Percentage,Load_Cycles,Idle_Time,Operating_Mode,Travel_Direction,Harsh_Acceleration,Harsh_Braking,Rapid_Control_Input,Control_Smoothness,Proximity_Violations,Seatbelt_Status,Proximity_Distance,Obstacle_Type,Blind_Zone_Entry,Ground_Slope,Safety_Zone_Status,Emergency_Stop,Safety_Event,Weather,Visibility,Ambient_Temperature,Dust_Level,Ground_Condition,Terrain_Type,Working_Zone,Lighting_Condition,Task_ID,Task_Type,Task_Complexity,Target_Quantity,Completed_Quantity,Historical_Task_Duration,Current_Task_Progress,Estimated_Task_Duration,Actual_Task_Duration,Total_Fuel_Used,Safety_Risk_Score,Safety_Risk_Level,Operator_Anomaly,Anomaly_Score,Anomaly_Reason,Task_Completion_Time,Incident_Type,Fuel_Efficiency
R014328,2026-03-01 06:01,POOR_WEATHER,WHL-306,Wheel Loader,Large Wheel Loader,8532.2,5.5,84.0,67.8,7.75,24.61,68.3,65.6,OP1062,Experienced,5.1,Morning,76.7,22.4,89.6,1,58.1,5.57,80.9,144,25.9,Standard,Forward,1,3,16,76.4,1,Fastened,9.98,Worker,0,0.5,Clear,0,0,Dust_Wind,52.3,31.6,68.3,Dry,Flat,Zone B,Daylight,TSK-014328,Loading,3,800.2,800.2,156.9,0.191,127.4,161.1,61.8,28.7,LOW,0,0.0327,Normal,131.7,No_Incident,12.94
R000068,2026-03-01 06:15,MACHINE_OVERHEATING,WHL-315,Wheel Loader,Medium Wheel Loader,9080.7,6.9,101.5,92.1,5.21,17.56,47.4,71.7,OP1118,Novice,1.4,Morning,62.5,15.3,64.0,0,38.0,3.13,68.6,250,41.2,Power,Forward,5,7,50,72.9,1,Fastened,16.56,No_Object,0,8.2,Clear,0,1,Cloudy,73.0,35.8,37.5,Loose,Stockpile,Zone D,Dawn_Dusk,TSK-000068,Stockpiling,3,780.6,780.6,233.7,0.542,175.8,306.9,85.2,62.6,HIGH,0,0.0308,Normal,153.2,Stability_Loss,9.16
R026859,2026-03-01 06:23,NORMAL_OPERATION,EXC-221,Excavator,Large Excavator (30t class),12745.2,8.2,83.5,66.3,2.81,22.75,72.0,75.2,OP1102,Intermediate,2.8,Morning,55.9,19.6,56.6,0,32.5,2.66,82.1,100,10.4,Power,Forward,0,1,9,69.0,0,Fastened,6.79,Structure,0,1.0,Clear,0,0,Cloudy,71.1,31.3,23.4,Dry,Flat,Zone C,Dawn_Dusk,TSK-026859,Excavation,4,265.0,265.0,79.1,0.325,53.0,68.4,25.5,8.0,LOW,0,0.0415,Normal,48.7,No_Incident,10.37
R012500,2026-03-01 06:26,NORMAL_OPERATION,EXC-203,Excavator,Large Excavator (30t class),12960.3,8.6,88.1,67.8,0.48,19.85,56.9,74.9,OP1055,Experienced,8.6,Morning,71.5,27.1,72.4,3,73.5,2.58,78.6,213,37.9,Standard,Stationary,2,6,15,75.1,2,Fastened,17.95,No_Object,0,8.7,Clear,0,0,Hot,93.7,35.0,39.8,Dry,Gentle_Slope,Zone E,Daylight,TSK-012500,Excavation,3,547.6,547.6,119.6,0.312,109.5,159.8,54.0,23.9,LOW,0,0.2224,Normal,111.7,No_Incident,10.14
R010900,2026-03-01 06:31,NORMAL_OPERATION,WHL-308,Wheel Loader,Large Wheel Loader,6246.1,5.2,84.3,62.1,8.87,25.02,84.1,65.3,OP1080,Experienced,8.4,Morning,85.5,14.1,63.8,3,67.7,4.53,67.1,291,25.5,Power,Forward,2,1,10,84.7,1,Fastened,7.49,Worker,0,0.4,Clear,0,0,Cloudy,77.0,31.9,43.6,Dry,Haul_Road,Zone F,Dawn_Dusk,TSK-010900,Material_Transfer,3,1315.2,1315.2,279.6,0.926,253.5,260.1,109.5,17.7,LOW,0,0.215,Normal,21.7,No_Incident,12.01
R022825,2026-03-01 06:34,NORMAL_OPERATION,WHL-315,Wheel Loader,Medium Wheel Loader,9080.7,6.9,83.5,60.8,6.79,13.16,77.6,69.0,OP1074,Experienced,7.4,Morning,78.6,38.9,88.6,1,85.0,3.59,78.4,236,57.7,Power,Forward,0,0,11,82.5,1,Fastened,6.14,Structure,0,9.0,Clear,0,0,Clear,100.0,29.4,37.8,Dry,Stockpile,Zone D,Daylight,TSK-022825,Material_Transfer,1,844.0,844.0,243.7,0.742,218.6,176.9,39.7,25.4,LOW,0,0.0713,Normal,45.5,No_Incident,21.24
R015891,2026-03-01 06:36,UNSAFE_OPERATION,EXC-210,Excavator,Medium Excavator (20t class),2836.1,2.1,81.2,57.0,4.07,16.72,83.2,73.1,OP1016,Intermediate,2.4,Morning,80.9,18.7,73.4,1,52.7,1.52,75.3,309,18.9,Power,Reverse,4,3,56,52.2,4,Unfastened,3.45,Structure,0,6.7,Warning,0,0,Clear,90.6,23.4,17.2,Dry,Flat,Zone B,Daylight,TSK-015891,Loading,3,469.1,469.1,144.2,0.486,118.8,126.3,35.3,31.5,MEDIUM,1,0.9811,Unusual_Speed,66.6,No_Incident,13.28
R013623,2026-03-01 06:37,NORMAL_OPERATION,EXC-208,Excavator,Large Excavator (30t class),5057.6,3.8,81.7,62.7,0.0,24.1,80.1,75.9,OP1072,Novice,1.7,Morning,65.8,19.8,54.2,1,11.0,2.25,67.9,150,31.8,Standard,Swinging,1,0,12,54.3,4,Fastened,4.14,Vehicle,0,4.7,Warning,0,0,Fog,31.8,24.9,27.5,Dry,Trench_Edge,Zone C,Daylight,TSK-013623,Trenching,3,336.4,336.4,120.3,0.81,87.5,150.7,58.6,28.6,LOW,0,0.0751,Normal,30.5,No_Incident,5.74
R001262,2026-03-01 06:52,HIGH_LOAD_OPERATION,WHL-309,Wheel Loader,Medium Wheel Loader,12905.7,10.3,82.3,63.7,0.11,13.56,71.6,71.9,OP1071,Intermediate,2.1,Morning,71.5,11.3,58.4,0,31.3,4.86,102.0,175,17.5,Standard,Stationary,0,3,12,66.5,4,Fastened,11.29,Worker,0,2.4,Clear,0,0,Hot,76.7,27.7,39.8,Dry,Haul_Road,Zone B,Dawn_Dusk,TSK-001262,Loading,3,849.5,849.5,178.6,0.618,181.7,178.3,40.1,11.5,LOW,0,0.1037,Normal,69.4,No_Incident,21.16
R001774,2026-03-01 06:53,EFFICIENT_OPERATION,EXC-212,Excavator,Large Excavator (30t class),868.9,0.6,77.4,51.3,0.45,11.9,87.3,47.3,OP1018,Experienced,6.1,Morning,70.6,21.9,66.6,1,62.4,2.31,73.9,108,5.7,Eco,Swinging,1,0,3,94.9,0,Fastened,13.02,Material_Pile,0,1.8,Clear,0,0,Cloudy,77.2,29.2,33.7,Dry,Flat,Zone C,Daylight,TSK-001774,Backfilling,2,249.1,249.1,49.0,0.428,42.3,40.9,8.4,8.6,LOW,0,0.0177,Normal,22.4,No_Incident,29.79
R021762,2026-03-01 06:53,PROXIMITY_HAZARD,EXC-217,Excavator,Medium Excavator (20t class),7429.3,5.8,81.9,60.9,0.75,8.98,65.3,52.9,OP1028,Intermediate,3.7,Morning,72.6,29.3,67.0,1,57.4,1.23,63.0,549,120.6,Standard,Swinging,4,2,22,86.6,3,Fastened,1.53,Vehicle,0,1.2,Violated,0,0,Clear,97.2,29.5,33.5,Dry,Haul_Road,Zone B,Daylight,TSK-021762,Loading,2,674.6,674.6,217.6,0.057,170.9,304.9,44.3,20.0,LOW,1,0.9375,Excessive_Idle,278.5,No_Incident,15.23
R012104,2026-03-01 06:54,MACHINE_OVERHEATING,EXC-215,Excavator,Medium Excavator (20t class),10756.5,8.6,106.3,84.6,0.6,12.34,45.2,60.9,OP1000,Intermediate,4.8,Morning,72.9,16.4,68.2,1,52.7,1.42,75.0,450,23.2,Power,Swinging,1,8,24,83.8,2,Fastened,9.73,Worker,0,2.8,Clear,0,0,Clear,87.3,31.5,18.5,Dry,Flat,Zone B,Dawn_Dusk,TSK-012104,Loading,1,1000.3,636.4,275.7,0.137,253.4,181.0,37.2,23.3,LOW,0,0.1558,Normal,149.6,No_Incident,17.12
R028470,2026-03-01 06:59,NORMAL_OPERATION,WHL-307,Wheel Loader,Large Wheel Loader,3983.7,3.0,83.3,66.4,7.72,25.7,84.1,71.2,OP1005,Intermediate,2.4,Morning,65.2,24.2,62.1,1,29.4,5.66,79.5,138,40.5,Power,Reverse,8,5,26,73.9,0,Fastened,15.04,No_Object,0,2.5,Clear,0,0,Clear,91.0,30.5,41.8,Rocky,Haul_Road,Zone F,Daylight,TSK-028470,Material_Transfer,3,777.3,777.3,171.5,0.858,149.8,184.1,79.6,32.2,MEDIUM,1,0.9645,Abnormal_Fuel,24.7,No_Incident,9.76
R004370,2026-03-01 07:01,PROXIMITY_HAZARD,WHL-310,Wheel Loader,Medium Wheel Loader,4446.8,3.2,79.3,62.5,7.28,11.37,83.9,64.6,OP1091,Expert,18.7,Morning,83.4,23.6,66.4,1,71.3,3.7,83.1,358,55.1,Standard,Forward,3,0,15,82.7,6,Fastened,2.75,Worker,1,5.4,Violated,1,1,Clear,92.5,31.1,39.0,Dry,Haul_Road,Zone B,Daylight,TSK-004370,Material_Transfer,2,1325.0,1325.0,383.6,0.634,343.1,314.6,59.5,72.5,HIGH,0,0.1293,Normal,116.5,Proximity_Near_Miss,22.27
R032429,2026-03-01 07:01,EFFICIENT_OPERATION,EXC-208,Excavator,Large Excavator (30t class),5057.6,3.8,80.0,56.0,0.06,15.87,78.4,57.5,OP1076,Experienced,6.5,Morning,75.4,15.7,86.0,2,52.3,1.96,60.5,75,7.3,Eco,Swinging,1,0,6,90.8,0,Fastened,9.01,Worker,0,6.6,Clear,0,0,Clear,87.8,27.3,34.7,Dry,Trench_Edge,Zone C,Daylight,TSK-032429,Trenching,3,146.8,146.8,53.4,0.137,38.2,56.2,13.8,9.7,LOW,0,0.0145,Normal,46.3,No_Incident,10.61
R035312,2026-03-01 07:04,POOR_WEATHER,WHL-311,Wheel Loader,Medium Wheel Loader,1426.1,1.2,81.2,56.4,7.82,11.2,86.7,60.8,OP1064,Experienced,8.2,Morning,73.8,22.8,62.8,5,51.5,3.05,70.3,117,17.8,Eco,Reverse,1,4,6,80.1,0,Fastened,5.09,Material_Pile,0,2.4,Warning,0,0,Dust_Wind,43.8,28.8,64.5,Dry,Flat,Zone D,Daylight,TSK-035312,Loading,3,356.0,356.0,94.5,0.293,76.2,115.3,21.4,20.5,LOW,0,0.0957,Normal,75.1,No_Incident,16.65
R023249,2026-03-01 07:06,STEEP_TERRAIN,EXC-213,Excavator,Large Excavator (30t class),12569.2,9.5,86.0,71.1,1.8,21.45,57.4,77.2,OP1032,Intermediate,4.4,Morning,67.2,29.8,67.1,1,45.1,2.13,72.3,320,51.0,Standard,Reverse,6,6,19,72.9,5,Fastened,8.45,Utility_Marker,0,21.0,Clear,0,0,Clear,95.0,31.1,16.0,Loose,Embankment,Zone D,Daylight,TSK-023249,Excavation,2,679.9,679.9,172.7,0.801,136.0,234.3,82.6,67.2,HIGH,0,0.1504,Normal,49.7,No_Incident,8.23
