,Engine_Hours,Machine_Age,Engine_Temperature,Hydraulic_Temperature,Machine_Speed,Fuel_Consumption,Machine_Health_Score,Engine_Load_Percentage,Years_Experience,Historical_Efficiency,Historical_Idle_Time,Training_Score,Previous_Safety_Events,Operator_Skill_Score,Load_Weight,Load_Percentage,Load_Cycles,Idle_Time,Harsh_Acceleration,Harsh_Braking,Rapid_Control_Input,Control_Smoothness,Proximity_Violations,Proximity_Distance,Blind_Zone_Entry,Ground_Slope,Emergency_Stop,Safety_Event,Visibility,Ambient_Temperature,Dust_Level,Task_Complexity,Target_Quantity,Completed_Quantity,Historical_Task_Duration,Current_Task_Progress,Estimated_Task_Duration,Actual_Task_Duration,Total_Fuel_Used,Safety_Risk_Score,Operator_Anomaly,Anomaly_Score,Task_Completion_Time,Fuel_Efficiency
Engine_Hours,1.0,0.972,0.316,0.249,-0.017,0.159,-0.85,0.009,-0.056,-0.097,-0.027,-0.075,-0.022,-0.086,0.096,0.004,-0.092,0.02,0.034,0.035,0.052,-0.075,0.03,-0.011,0.006,0.005,0.052,0.068,-0.039,-0.072,-0.023,0.005,-0.015,-0.015,-0.07,0.003,-0.08,0.03,0.114,0.184,0.013,0.01,0.015,-0.176
Machine_Age,0.972,1.0,0.303,0.241,-0.041,0.13,-0.816,0.016,-0.057,-0.074,-0.035,-0.084,-0.04,-0.077,0.048,0.006,-0.062,0.015,0.032,0.033,0.045,-0.056,0.024,-0.009,0.006,0.008,0.046,0.06,-0.037,-0.066,-0.021,0.011,-0.028,-0.027,-0.066,0.002,-0.074,0.03,0.098,0.161,0.012,0.008,0.015,-0.17
Engine_Temperature,0.316,0.303,1.0,0.766,-0.092,0.302,-0.425,0.471,-0.055,-0.062,-0.022,-0.068,-0.015,-0.067,-0.004,0.218,-0.045,-0.038,0.022,0.034,0.012,-0.085,-0.01,-0.005,-0.03,0.247,0.046,0.058,0.223,0.513,0.138,0.051,-0.051,-0.049,-0.033,0.005,-0.039,-0.049,0.121,0.174,0.014,0.027,-0.034,-0.237
Hydraulic_Temperature,0.249,0.241,0.766,1.0,-0.114,0.354,-0.35,0.595,-0.051,-0.056,-0.015,-0.062,-0.019,-0.058,-0.008,0.274,-0.049,-0.039,0.02,0.032,0.004,-0.081,-0.014,-0.006,-0.034,0.308,0.054,0.072,0.225,0.502,0.129,0.067,-0.06,-0.059,-0.032,0.007,-0.039,-0.06,0.14,0.198,0.027,0.042,-0.041,-0.275
Machine_Speed,-0.017,-0.041,-0.092,-0.114,1.0,-0.11,0.043,-0.168,0.079,0.053,-0.062,0.003,0.069,0.001,0.539,-0.015,-0.198,0.037,0.113,0.104,0.133,-0.097,0.096,-0.088,0.07,-0.137,0.102,0.14,0.031,0.009,0.108,-0.15,0.265,0.262,0.168,-0.003,0.181,0.085,0.022,0.33,0.121,0.105,0.054,0.317
Fuel_Consumption,0.159,0.13,0.302,0.354,-0.11,1.0,-0.131,0.513,-0.091,-0.119,-0.133,-0.083,-0.015,-0.078,0.205,0.18,-0.204,-0.242,-0.035,-0.034,-0.073,-0.184,-0.063,-0.044,-0.008,0.195,0.057,0.073,0.017,0.001,-0.004,0.074,-0.021,-0.002,-0.188,0.006,-0.184,-0.218,0.321,0.17,0.07,0.086,-0.138,-0.445
Machine_Health_Score,-0.85,-0.816,-0.425,-0.35,0.043,-0.131,1.0,-0.003,0.045,0.042,0.077,0.058,0.017,0.07,-0.028,-0.001,0.049,0.0,-0.036,-0.041,-0.048,0.05,-0.031,-0.003,0.004,0.002,-0.049,-0.068,0.046,0.056,0.025,-0.013,0.026,0.028,0.069,-0.003,0.067,-0.045,-0.113,-0.2,0.008,0.007,-0.024,0.192
Engine_Load_Percentage,0.009,0.016,0.471,0.595,-0.168,0.513,-0.003,1.0,-0.04,-0.033,0.018,-0.018,-0.019,-0.018,-0.011,0.461,-0.069,-0.03,0.021,0.025,-0.007,-0.077,-0.021,-0.017,-0.039,0.509,0.089,0.117,0.049,0.018,0.006,0.091,-0.08,-0.077,-0.021,0.004,-0.028,-0.076,0.214,0.302,0.066,0.077,-0.049,-0.405
Years_Experience,-0.056,-0.057,-0.055,-0.051,0.079,-0.091,0.045,-0.04,1.0,0.535,0.128,0.585,0.513,0.718,0.094,-0.009,-0.029,0.006,-0.102,-0.103,-0.184,0.449,-0.091,0.016,0.001,-0.023,-0.004,-0.005,-0.04,-0.031,0.0,-0.029,0.048,0.046,-0.052,0.004,0.041,-0.064,-0.111,-0.036,-0.016,-0.014,-0.039,0.217
Historical_Efficiency,-0.097,-0.074,-0.062,-0.056,0.053,-0.119,0.042,-0.033,0.535,1.0,-0.236,0.528,0.226,0.689,-0.026,-0.003,0.059,-0.182,-0.151,-0.148,-0.2,0.45,-0.132,0.03,-0.004,-0.022,-0.01,-0.014,-0.053,-0.052,-0.002,-0.018,0.035,0.034,-0.056,0.001,0.087,-0.066,-0.128,-0.061,-0.024,-0.022,-0.04,0.22
Historical_Idle_Time,-0.027,-0.035,-0.022,-0.015,-0.062,-0.133,0.077,0.018,0.128,-0.236,1.0,0.135,-0.024,0.187,-0.027,0.001,-0.019,0.531,0.002,-0.0,-0.001,0.147,0.025,0.004,0.001,0.013,-0.016,-0.024,-0.013,-0.007,-0.011,0.018,-0.038,-0.038,0.067,-0.001,-0.059,0.07,-0.007,-0.047,-0.013,-0.008,0.043,-0.038
Training_Score,-0.075,-0.084,-0.068,-0.062,0.003,-0.083,0.058,-0.018,0.585,0.528,0.135,1.0,0.244,0.737,-0.002,-0.004,0.009,-0.006,-0.153,-0.15,-0.195,0.445,-0.13,0.026,-0.001,-0.009,-0.015,-0.021,-0.051,-0.07,-0.037,-0.003,0.004,0.003,-0.076,0.007,0.016,-0.075,-0.117,-0.083,-0.027,-0.022,-0.049,0.164
Previous_Safety_Events,-0.022,-0.04,-0.015,-0.019,0.069,-0.015,0.017,-0.019,0.513,0.226,-0.024,0.244,1.0,0.283,0.045,-0.014,-0.013,-0.045,0.046,0.047,-0.033,0.057,0.012,-0.011,0.0,-0.005,0.017,0.022,0.024,-0.0,0.007,-0.011,0.023,0.02,-0.033,0.003,0.021,-0.038,-0.043,0.032,0.01,0.008,-0.021,0.089
Operator_Skill_Score,-0.086,-0.077,-0.067,-0.058,0.001,-0.078,0.07,-0.018,0.718,0.689,0.187,0.737,0.283,1.0,0.019,-0.003,-0.009,-0.004,-0.201,-0.204,-0.27,0.589,-0.163,0.032,-0.002,-0.014,-0.023,-0.031,-0.043,-0.063,-0.011,-0.006,0.006,0.006,-0.103,0.008,0.005,-0.107,-0.148,-0.105,-0.037,-0.034,-0.069,0.211
Load_Weight,0.096,0.048,-0.004,-0.008,0.539,0.205,-0.028,-0.011,0.094,-0.026,-0.027,-0.002,0.045,0.019,1.0,0.325,-0.501,-0.026,0.002,-0.005,0.005,-0.06,-0.012,0.006,0.001,-0.096,0.071,0.096,-0.011,-0.026,0.117,-0.184,0.349,0.343,0.109,0.005,0.114,-0.027,0.082,0.253,-0.017,-0.011,-0.019,0.341
Load_Percentage,0.004,0.006,0.218,0.274,-0.015,0.18,-0.001,0.461,-0.009,-0.003,0.001,-0.004,-0.014,-0.003,0.325,1.0,-0.207,-0.146,-0.101,-0.099,-0.141,0.003,-0.118,0.017,-0.022,-0.023,0.028,0.037,0.023,-0.003,-0.002,-0.004,0.06,0.059,0.058,0.003,0.06,-0.202,-0.092,0.134,-0.06,-0.042,-0.123,0.209
Load_Cycles,-0.092,-0.062,-0.045,-0.049,-0.198,-0.204,0.049,-0.069,-0.029,0.059,-0.019,0.009,-0.013,-0.009,-0.501,-0.207,1.0,0.484,0.326,0.314,0.436,0.042,0.34,0.023,-0.019,0.019,-0.036,-0.05,0.017,0.017,-0.011,-0.028,0.586,0.605,0.7,-0.001,0.723,0.707,0.571,-0.131,0.003,0.008,0.417,0.025
Idle_Time,0.02,0.015,-0.038,-0.039,0.037,-0.242,0.0,-0.03,0.006,-0.182,0.531,-0.006,-0.045,-0.004,-0.026,-0.146,0.484,1.0,0.399,0.378,0.494,-0.013,0.38,0.008,-0.014,0.081,0.015,0.022,-0.114,-0.055,0.01,0.078,0.511,0.51,0.622,0.001,0.546,0.777,0.609,0.084,0.161,0.201,0.455,-0.16
Harsh_Acceleration,0.034,0.032,0.022,0.02,0.113,-0.035,-0.036,0.021,-0.102,-0.151,0.002,-0.153,0.046,-0.201,0.002,-0.101,0.326,0.399,1.0,0.547,0.451,-0.278,0.337,-0.083,0.007,0.093,0.089,0.125,-0.069,-0.006,0.015,0.045,0.364,0.364,0.412,-0.004,0.392,0.494,0.46,0.26,0.177,0.215,0.295,-0.156
Harsh_Braking,0.035,0.033,0.034,0.032,0.104,-0.034,-0.041,0.025,-0.103,-0.148,-0.0,-0.15,0.047,-0.204,-0.005,-0.099,0.314,0.378,0.547,1.0,0.441,-0.272,0.326,-0.083,0.007,0.096,0.087,0.119,-0.062,0.005,0.009,0.047,0.343,0.343,0.394,0.002,0.374,0.474,0.442,0.253,0.167,0.202,0.279,-0.157
Rapid_Control_Input,0.052,0.045,0.012,0.004,0.133,-0.073,-0.048,-0.007,-0.184,-0.2,-0.001,-0.195,-0.033,-0.27,0.005,-0.141,0.436,0.494,0.451,0.441,1.0,-0.349,0.41,-0.066,-0.003,0.116,0.078,0.109,-0.077,-0.018,0.016,0.067,0.486,0.486,0.546,-0.006,0.518,0.654,0.592,0.208,0.183,0.151,0.39,-0.168
Control_Smoothness,-0.075,-0.056,-0.085,-0.081,-0.097,-0.184,0.05,-0.077,0.449,0.45,0.147,0.445,0.057,0.589,-0.06,0.003,0.042,-0.013,-0.278,-0.272,-0.349,1.0,-0.184,0.142,-0.025,-0.06,-0.094,-0.128,-0.028,-0.044,-0.021,0.005,-0.017,-0.017,-0.051,-0.0,0.014,-0.063,-0.162,-0.252,-0.213,-0.244,-0.038,0.199
Proximity_Violations,0.03,0.024,-0.01,-0.014,0.096,-0.063,-0.031,-0.021,-0.091,-0.132,0.025,-0.13,0.012,-0.163,-0.012,-0.118,0.34,0.38,0.337,0.326,0.41,-0.184,1.0,-0.179,0.147,0.077,0.126,0.169,-0.05,-0.018,0.012,0.048,0.365,0.366,0.411,-0.005,0.391,0.491,0.44,0.26,0.133,0.246,0.295,-0.127
Proximity_Distance,-0.011,-0.009,-0.005,-0.006,-0.088,-0.044,-0.003,-0.017,0.016,0.03,0.004,0.026,-0.011,0.032,0.006,0.017,0.023,0.008,-0.083,-0.083,-0.066,0.142,-0.179,1.0,-0.331,-0.003,-0.208,-0.286,-0.022,-0.01,0.007,-0.003,0.026,0.026,0.03,-0.0,0.034,0.033,0.009,-0.362,-0.134,-0.174,0.021,0.026
