Machine_ID,Machine_Type,Machine_Model_Class,Machine_Age,Engine_Hours_Start
EXC-201,Excavator,Large Excavator (30t class),5.5,7876.9
EXC-202,Excavator,Medium Excavator (20t class),10.1,13162.3
EXC-203,Excavator,Large Excavator (30t class),8.6,12960.3
EXC-204,Excavator,Medium Excavator (20t class),1.2,1350.0
EXC-205,Excavator,Medium Excavator (20t class),10.1,11224.7
EXC-206,Excavator,Large Excavator (30t class),9.8,11221.2
EXC-207,Excavator,Large Excavator (30t class),5.0,7305.9
EXC-208,Excavator,Large Excavator (30t class),3.8,5057.6
EXC-209,Excavator,Medium Excavator (20t class),8.3,9799.3
EXC-210,Excavator,Medium Excavator (20t class),2.1,2836.1
EXC-211,Excavator,Medium Excavator (20t class),2.8,3293.2
EXC-212,Excavator,Large Excavator (30t class),0.6,868.9
EXC-213,Excavator,Large Excavator (30t class),9.5,12569.2
EXC-214,Excavator,Large Excavator (30t class),8.1,10453.1
EXC-215,Excavator,Medium Excavator (20t class),8.6,10756.5
EXC-216,Excavator,Medium Excavator (20t class),9.5,13443.8
EXC-217,Excavator,Medium Excavator (20t class),5.8,7429.3
EXC-218,Excavator,Medium Excavator (20t class),7.0,8006.8
EXC-219,Excavator,Large Excavator (30t class),2.1,2433.9
EXC-220,Excavator,Large Excavator (30t class),1.8,2845.7
EXC-221,Excavator,Large Excavator (30t class),8.2,12745.2
EXC-222,Excavator,Medium Excavator (20t class),5.9,8554.1
EXC-223,Excavator,Large Excavator (30t class),7.0,8630.5
EXC-224,Excavator,Large Excavator (30t class),9.3,14736.7
WHL-301,Wheel Loader,Large Wheel Loader,7.8,11617.1
WHL-302,Wheel Loader,Medium Wheel Loader,6.9,10063.3
WHL-303,Wheel Loader,Medium Wheel Loader,6.9,9140.3
WHL-304,Wheel Loader,Medium Wheel Loader,4.0,4944.5
WHL-305,Wheel Loader,Medium Wheel Loader,0.9,1033.4
WHL-306,Wheel Loader,Large Wheel Loader,5.5,8532.2
WHL-307,Wheel Loader,Large Wheel Loader,3.0,3983.7
WHL-308,Wheel Loader,Large Wheel Loader,5.2,6246.1
WHL-309,Wheel Loader,Medium Wheel Loader,10.3,12905.7
WHL-310,Wheel Loader,Medium Wheel Loader,3.2,4446.8
WHL-311,Wheel Loader,Medium Wheel Loader,1.2,1426.1
WHL-312,Wheel Loader,Medium Wheel Loader,3.7,5654.7
WHL-313,Wheel Loader,Medium Wheel Loader,3.9,5769.1
WHL-314,Wheel Loader,Medium Wheel Loader,8.1,11823.8
WHL-315,Wheel Loader,Medium Wheel Loader,6.9,9080.7
WHL-316,Wheel Loader,Large Wheel Loader,9.5,13429.7
