Operator_ID,Years_Experience,Experience_Level,Operating_Shift,Primary_Machine_Type,Primary_Machine_ID,Operator_Skill_Score,Training_Score_Start,Historical_Efficiency,Historical_Idle_Time,Previous_Safety_Events
OP1000,4.8,Intermediate,Morning,Excavator,EXC-215,52.7,68.2,72.9,16.4,1
OP1001,6.2,Experienced,Afternoon,Excavator,EXC-202,44.5,62.0,75.2,11.9,2
OP1002,5.2,Experienced,Night,Excavator,EXC-202,67.8,85.0,77.3,26.5,2
OP1003,0.6,Novice,Morning,Excavator,EXC-219,22.2,49.0,62.4,21.7,1
OP1004,2.4,Intermediate,Afternoon,Wheel Loader,WHL-312,36.4,57.3,64.1,49.2,1
OP1005,2.4,Intermediate,Morning,Wheel Loader,WHL-307,29.4,62.1,65.2,24.2,1
OP1006,8.9,Experienced,Night,Wheel Loader,WHL-310,64.8,76.2,78.9,23.8,1
OP1007,4.1,Intermediate,Morning,Excavator,EXC-204,68.2,78.2,74.6,22.3,3
OP1008,6.8,Experienced,Afternoon,Excavator,EXC-207,63.2,79.4,69.6,26.6,0
OP1009,3.8,Intermediate,Afternoon,Excavator,EXC-211,59.3,71.3,78.8,25.2,1
OP1010,7.0,Experienced,Morning,Excavator,EXC-208,68.2,79.0,71.3,28.9,1
OP1011,4.3,Intermediate,Afternoon,Excavator,EXC-220,68.3,73.2,77.5,14.6,0
OP1012,4.1,Intermediate,Afternoon,Wheel Loader,WHL-307,52.0,68.3,74.1,17.3,1
OP1013,5.5,Experienced,Afternoon,Wheel Loader,WHL-306,46.1,66.7,72.1,17.2,2
OP1014,5.2,Experienced,Afternoon,Wheel Loader,WHL-309,66.1,77.2,73.9,28.4,1
OP1015,20.4,Expert,Night,Excavator,EXC-219,84.5,84.5,75.9,37.1,3
OP1016,2.4,Intermediate,Morning,Excavator,EXC-207,52.7,73.4,80.9,18.7,1
OP1017,1.3,Novice,Afternoon,Excavator,EXC-223,37.4,63.3,66.2,16.2,0
OP1018,6.1,Experienced,Morning,Excavator,EXC-212,62.4,66.6,70.6,21.9,1
OP1019,2.7,Intermediate,Afternoon,Excavator,EXC-216,50.5,67.7,76.9,18.9,1
OP1020,0.5,Novice,Afternoon,Excavator,EXC-223,41.7,66.1,69.3,32.5,0
OP1021,2.0,Intermediate,Morning,Excavator,EXC-211,65.0,73.6,80.2,9.9,0
OP1022,17.7,Expert,Morning,Wheel Loader,WHL-304,78.0,95.7,81.5,16.0,2
OP1023,2.4,Intermediate,Night,Excavator,EXC-218,41.4,62.0,70.1,14.9,0
OP1024,0.9,Novice,Morning,Wheel Loader,WHL-301,47.7,67.3,74.7,8.4,0
OP1025,17.0,Expert,Afternoon,Excavator,EXC-211,72.4,83.9,89.0,15.0,2
OP1026,1.9,Novice,Morning,Excavator,EXC-224,39.0,65.5,68.4,13.6,2
OP1027,24.2,Expert,Night,Excavator,EXC-210,86.2,97.0,85.9,18.4,5
OP1028,3.7,Intermediate,Morning,Excavator,EXC-217,57.4,67.0,72.6,29.3,1
OP1029,13.9,Expert,Morning,Excavator,EXC-213,68.1,77.9,71.9,20.2,1
OP1030,4.0,Intermediate,Night,Excavator,EXC-206,45.5,57.0,74.8,13.6,1
OP1031,6.6,Experienced,Night,Wheel Loader,WHL-306,45.4,62.7,65.6,16.9,0
OP1032,4.4,Intermediate,Morning,Excavator,EXC-213,45.1,67.1,67.2,29.8,1
OP1033,4.1,Intermediate,Afternoon,Wheel Loader,WHL-302,47.1,73.3,76.3,13.6,3
OP1034,5.7,Experienced,Afternoon,Excavator,EXC-210,60.2,73.3,83.1,14.6,0
OP1035,6.7,Experienced,Night,Excavator,EXC-210,83.1,90.3,86.6,24.2,1
OP1036,5.4,Experienced,Morning,Excavator,EXC-221,69.4,75.5,72.4,18.2,3
OP1037,5.0,Experienced,Afternoon,Excavator,EXC-203,46.0,64.8,66.4,26.3,3
OP1038,2.7,Intermediate,Afternoon,Wheel Loader,WHL-314,50.0,86.2,72.9,18.2,0
OP1039,4.5,Intermediate,Afternoon,Wheel Loader,WHL-307,51.8,71.2,69.9,24.8,1
OP1040,12.9,Expert,Afternoon,Wheel Loader,WHL-311,66.8,72.4,87.4,14.5,8
OP1041,2.6,Intermediate,Afternoon,Excavator,EXC-214,41.5,61.5,74.5,19.2,2
OP1042,5.8,Experienced,Morning,Excavator,EXC-208,68.7,68.3,83.0,16.9,2
OP1043,10.4,Expert,Night,Wheel Loader,WHL-315,58.2,82.4,83.5,13.6,4
OP1044,6.8,Experienced,Night,Excavator,EXC-206,74.4,75.6,79.9,12.4,1
OP1045,8.9,Experienced,Afternoon,Excavator,EXC-201,56.9,72.4,71.9,25.4,1
OP1046,1.9,Novice,Morning,Excavator,EXC-219,46.4,63.1,71.3,15.7,2
OP1047,5.9,Experienced,Morning,Wheel Loader,WHL-310,82.6,88.2,86.7,14.6,0
OP1048,3.9,Intermediate,Afternoon,Wheel Loader,WHL-315,57.6,63.8,77.6,17.5,1
OP1049,4.0,Intermediate,Morning,Wheel Loader,WHL-308,64.7,67.3,78.6,30.2,1
OP1050,12.2,Expert,Night,Wheel Loader,WHL-301,75.3,80.2,89.7,8.5,11
OP1051,4.1,Intermediate,Morning,Excavator,EXC-201,62.1,75.8,68.4,11.0,2
OP1052,6.0,Experienced,Afternoon,Wheel Loader,WHL-307,59.2,74.8,75.1,14.1,2
OP1053,0.9,Novice,Night,Excavator,EXC-206,35.8,53.6,65.2,33.0,0
OP1054,13.9,Expert,Morning,Wheel Loader,WHL-315,64.6,80.6,77.6,21.2,4
OP1055,8.6,Experienced,Morning,Excavator,EXC-203,73.5,72.4,71.5,27.1,3
OP1056,4.6,Intermediate,Afternoon,Wheel Loader,WHL-315,52.2,63.2,80.1,13.1,1
OP1057,3.8,Intermediate,Afternoon,Excavator,EXC-206,61.1,64.7,79.6,14.3,1
OP1058,7.2,Experienced,Morning,Excavator,EXC-203,82.6,87.8,86.4,23.8,1
OP1059,10.4,Expert,Afternoon,Excavator,EXC-207,71.9,83.2,84.7,19.6,5
OP1060,14.1,Expert,Night,Excavator,EXC-204,67.7,82.2,82.7,23.0,2
OP1061,8.4,Experienced,Afternoon,Excavator,EXC-210,68.2,86.2,84.6,17.0,3
OP1062,5.1,Experienced,Morning,Wheel Loader,WHL-306,58.1,89.6,76.7,22.4,1
OP1063,9.3,Experienced,Morning,Excavator,EXC-213,80.3,68.3,93.8,20.7,2
OP1064,8.2,Experienced,Morning,Wheel Loader,WHL-309,51.5,62.8,73.8,22.8,5
OP1065,5.1,Experienced,Morning,Excavator,EXC-201,50.7,65.5,65.3,25.7,3
OP1066,8.0,Experienced,Morning,Wheel Loader,WHL-302,52.3,61.2,78.3,10.7,3
OP1067,7.9,Experienced,Afternoon,Excavator,EXC-204,48.6,61.5,84.1,10.0,2
OP1068,4.6,Intermediate,Morning,Wheel Loader,WHL-304,73.1,73.7,81.4,25.6,2
OP1069,3.2,Intermediate,Night,Excavator,EXC-203,68.7,62.3,68.9,27.8,0
OP1070,7.5,Experienced,Morning,Excavator,EXC-208,60.9,74.1,84.4,15.0,2
OP1071,2.1,Intermediate,Morning,Wheel Loader,WHL-309,31.3,58.4,71.5,11.3,0
OP1072,1.7,Novice,Afternoon,Excavator,EXC-208,11.0,54.2,65.8,19.8,1
OP1073,6.0,Experienced,Night,Excavator,EXC-208,49.4,74.0,68.6,26.7,2
OP1074,7.4,Experienced,Morning,Wheel Loader,WHL-308,85.0,88.6,78.6,38.9,1
OP1075,6.0,Experienced,Morning,Wheel Loader,WHL-309,61.1,71.8,76.2,20.8,3
OP1076,6.5,Experienced,Morning,Excavator,EXC-208,52.3,86.0,75.4,15.7,2
OP1077,7.3,Experienced,Afternoon,Excavator,EXC-206,76.5,78.0,80.4,14.4,0
OP1078,12.2,Expert,Afternoon,Wheel Loader,WHL-307,61.1,58.9,65.9,22.0,4
OP1079,8.5,Experienced,Morning,Wheel Loader,WHL-301,67.1,67.5,78.8,17.5,5
OP1080,8.4,Experienced,Morning,Wheel Loader,WHL-308,67.7,63.8,85.5,14.1,3
OP1081,5.7,Experienced,Afternoon,Excavator,EXC-223,59.0,72.0,64.4,43.9,0
OP1082,5.9,Experienced,Night,Wheel Loader,WHL-307,72.2,74.9,79.8,42.4,1
OP1083,4.3,Intermediate,Afternoon,Excavator,EXC-203,57.8,67.8,71.2,28.8,0
OP1084,6.3,Experienced,Afternoon,Wheel Loader,WHL-312,70.6,89.9,88.8,14.5,2
OP1085,2.0,Intermediate,Morning,Excavator,EXC-204,34.8,64.9,63.6,30.1,2
OP1086,12.2,Expert,Morning,Wheel Loader,WHL-304,80.7,87.0,87.7,22.8,5
OP1087,2.5,Intermediate,Morning,Excavator,EXC-204,54.1,65.4,76.3,24.8,0
OP1088,8.5,Experienced,Afternoon,Excavator,EXC-222,51.6,64.8,76.8,29.1,0
OP1089,11.3,Expert,Night,Wheel Loader,WHL-316,63.9,74.5,77.0,25.1,8
OP1090,8.5,Experienced,Night,Excavator,EXC-214,80.5,82.3,85.2,25.5,4
OP1091,18.7,Expert,Night,Wheel Loader,WHL-310,71.3,66.4,83.4,23.6,1
OP1092,0.6,Novice,Night,Excavator,EXC-216,43.2,63.2,67.1,21.2,0
OP1093,3.4,Intermediate,Night,Wheel Loader,WHL-310,46.6,66.0,77.1,10.9,1
OP1094,11.1,Expert,Morning,Excavator,EXC-214,77.2,82.1,97.2,21.9,5
OP1095,1.6,Novice,Morning,Excavator,EXC-224,36.4,57.3,68.7,16.3,1
OP1096,2.5,Intermediate,Morning,Excavator,EXC-218,49.0,62.6,76.6,12.8,3
OP1097,7.0,Experienced,Afternoon,Excavator,EXC-203,80.2,79.2,82.4,37.3,2
OP1098,5.0,Experienced,Morning,Excavator,EXC-210,50.0,70.2,70.8,34.6,3
OP1099,6.7,Experienced,Night,Wheel Loader,WHL-316,55.9,74.1,68.8,33.6,1
OP1100,5.4,Experienced,Afternoon,Wheel Loader,WHL-307,59.4,77.5,64.4,23.0,1
OP1101,5.7,Experienced,Afternoon,Wheel Loader,WHL-304,67.7,72.0,75.1,37.5,1
OP1102,2.8,Intermediate,Morning,Excavator,EXC-221,32.5,56.6,55.9,19.6,0
OP1103,5.6,Experienced,Morning,Excavator,EXC-215,64.0,77.7,84.8,20.9,0
OP1104,3.6,Intermediate,Morning,Excavator,EXC-214,44.1,70.2,74.8,14.3,2
OP1105,4.0,Intermediate,Night,Wheel Loader,WHL-307,65.6,70.6,81.2,24.1,0
OP1106,8.4,Experienced,Afternoon,Wheel Loader,WHL-302,47.3,71.5,67.1,19.8,5
OP1107,1.6,Novice,Afternoon,Excavator,EXC-210,34.3,66.2,61.8,12.4,1
OP1108,0.4,Novice,Morning,Wheel Loader,WHL-307,14.2,60.2,57.4,20.3,2
OP1109,8.0,Experienced,Morning,Excavator,EXC-223,63.0,84.3,77.0,18.5,1
OP1110,5.6,Experienced,Morning,Excavator,EXC-208,62.7,67.0,67.3,36.6,2
OP1111,11.3,Expert,Afternoon,Excavator,EXC-204,74.5,77.2,78.8,27.5,5
OP1112,2.6,Intermediate,Afternoon,Excavator,EXC-211,46.9,64.6,80.6,21.3,0
OP1113,4.5,Intermediate,Morning,Wheel Loader,WHL-316,51.1,68.7,76.9,21.0,0
OP1114,5.2,Experienced,Night,Wheel Loader,WHL-308,53.2,67.7,81.3,18.2,0
OP1115,3.0,Intermediate,Morning,Excavator,EXC-210,45.2,52.2,71.6,16.6,1
OP1116,2.3,Intermediate,Night,Excavator,EXC-217,51.2,68.2,81.6,12.7,0
OP1117,8.3,Experienced,Morning,Wheel Loader,WHL-311,66.9,72.8,83.0,17.5,0
OP1118,1.4,Novice,Morning,Wheel Loader,WHL-305,38.0,64.0,62.5,15.3,0
OP1119,2.0,Intermediate,Night,Wheel Loader,WHL-316,49.9,60.5,73.8,12.0,1
