Operator_ID,L_Skill,L_Risk_Propensity,L_Idle_Habit,L_Idle_SD,L_Speed_Factor,L_Speed_SD,L_Fuel_Habit,L_Smoothness,L_Harsh_Rate,L_Seatbelt_Compliance,L_Awareness
OP1000,0.5584,0.4037,15.5783,1.7963,1.0607,0.0931,0.9012,75.416,1.9872,0.95,0.7251
OP1001,0.4571,0.6971,12.6144,1.7348,1.0483,0.0971,1.0406,68.3364,3.0772,0.8859,0.5566
OP1002,0.6699,0.3256,26.7963,3.1949,1.0958,0.0839,1.0695,73.8543,1.024,0.9344,0.761
OP1003,0.2524,0.353,22.6012,3.5838,1.1038,0.0868,0.9524,64.863,2.5773,0.9489,0.654
OP1004,0.3964,0.26,45.0,5.5791,0.9959,0.0621,1.0232,80.6482,1.868,0.944,0.6649
OP1005,0.3482,0.2226,23.1686,3.2697,1.0644,0.0978,0.9474,72.0057,2.0081,0.9761,0.7091
OP1006,0.6321,0.1461,22.9067,2.3226,0.9763,0.0757,0.9418,84.6331,0.9017,0.952,0.9042
OP1007,0.66,0.3,21.5,2.4,1.0,0.07,1.0,84.0,0.9,0.99,0.72
OP1008,0.6232,0.3352,26.6184,4.0595,1.0661,0.0832,0.9651,83.8074,1.7266,0.9316,0.7059
OP1009,0.554,0.4104,24.8911,3.4005,1.0262,0.0602,1.0349,67.9608,1.957,0.9244,0.6019
OP1010,0.6785,0.3464,30.9953,3.9251,0.9992,0.0615,0.8835,75.4841,1.7225,0.9654,0.6877
OP1011,0.6672,0.2174,16.6643,2.6022,1.1142,0.0872,1.0978,85.1802,1.6141,0.9715,0.6736
OP1012,0.5082,0.5078,17.173,2.5972,0.7944,0.0825,1.0534,69.311,1.8184,0.9583,0.6985
OP1013,0.4647,0.4886,16.9124,2.0182,0.8929,0.0611,1.0069,76.0662,2.5072,0.9717,0.7752
OP1014,0.6824,0.3121,26.3775,3.4996,0.8718,0.0897,1.0274,81.7922,1.5635,0.9269,0.9021
OP1015,0.7567,0.222,33.7899,4.3721,0.9317,0.0941,0.8973,80.0889,1.1961,0.9598,0.7238
OP1016,0.5448,0.446,17.0328,2.3494,0.9985,0.0799,1.0814,69.7995,1.6935,0.908,0.7375
OP1017,0.4003,0.41,17.2371,2.0693,0.8643,0.0786,0.9953,58.8119,2.2705,0.9202,0.7499
OP1018,0.6068,0.1173,22.3239,2.5595,0.8433,0.0602,0.9688,82.9888,0.5616,0.9583,0.7993
OP1019,0.4948,0.3549,18.3516,2.8401,0.9151,0.0915,0.9762,73.9383,2.0557,0.9213,0.7041
OP1020,0.4734,0.4109,27.9091,4.338,1.261,0.0732,0.9764,71.0192,1.6862,0.9147,0.5044
OP1021,0.6046,0.2054,9.094,1.3695,1.144,0.0952,1.0299,86.3923,1.4012,0.9575,0.821
OP1022,0.7842,0.3527,14.9751,2.3764,0.9595,0.0749,1.0064,91.1084,1.511,0.9183,0.7275
OP1023,0.4589,0.1384,15.209,2.2007,0.9107,0.0826,1.0292,76.9069,1.6877,0.9852,0.7842
OP1024,0.4299,0.5893,8.8783,1.2952,0.9449,0.0708,1.0271,58.8704,2.5127,0.8959,0.4513
OP1025,0.6989,0.5348,14.2743,2.0806,0.8554,0.0664,1.0406,81.7278,1.9249,0.977,0.749
OP1026,0.4406,0.3335,14.5186,1.8705,0.9842,0.091,0.9815,75.1767,1.7783,0.936,0.7648
OP1027,0.7909,0.3795,18.6407,2.3746,0.9076,0.0799,1.1266,87.2841,1.9179,0.9409,0.7419
OP1028,0.5476,0.02,29.526,3.3782,0.909,0.0815,0.8821,87.4291,1.127,0.9567,0.7601
OP1029,0.6811,0.1528,18.3561,2.5458,0.7907,0.0986,1.0558,81.5268,1.0684,0.999,0.6788
OP1030,0.3912,0.3343,13.9426,1.6363,0.9199,0.0985,1.0913,78.9952,1.9073,0.9673,0.6414
OP1031,0.4478,0.2013,19.6053,2.2638,0.9777,0.0942,0.9446,72.0474,1.1741,0.9668,0.6921
OP1032,0.4523,0.4865,28.874,3.9025,1.0707,0.0675,1.1521,73.3599,2.3705,0.8997,0.5023
OP1033,0.4977,0.6849,14.2129,1.7709,1.1255,0.0838,1.0916,61.4618,2.275,0.907,0.6014
OP1034,0.5785,0.165,14.5419,1.6451,0.8217,0.0951,1.0445,78.1198,1.5062,0.9428,0.7694
OP1035,0.8117,0.1843,24.3182,3.6225,1.044,0.075,0.9778,96.8475,1.1188,0.9921,0.8049
OP1036,0.6935,0.3736,18.5078,2.8064,0.9259,0.064,0.9842,81.2232,2.2987,0.9563,0.7236
OP1037,0.4918,0.624,25.0871,2.7611,1.1318,0.0924,1.0148,72.5525,2.2948,0.912,0.6728
OP1038,0.4947,0.1702,19.9047,1.9994,0.954,0.0793,1.0143,79.3296,1.4063,0.9158,0.818
OP1039,0.5207,0.4017,25.5673,3.0724,0.8753,0.0826,1.0922,74.3727,2.4291,0.9171,0.6772
OP1040,0.7217,0.6232,13.9218,2.0583,1.0367,0.0993,1.0266,83.861,2.5897,0.924,0.729
OP1041,0.4739,0.1046,19.9156,2.9943,0.9752,0.0843,0.932,77.9152,1.1189,0.9967,0.6948
OP1042,0.6641,0.1354,18.5782,2.012,1.0076,0.077,1.0291,78.7342,1.1976,0.9909,0.8541
OP1043,0.6865,0.2693,13.0681,1.9139,0.9657,0.0748,1.0445,80.86,1.4499,0.9208,0.8187
OP1044,0.736,0.2463,11.5712,1.2374,1.1273,0.0767,1.0242,88.7189,1.403,0.9615,0.7983
OP1045,0.5882,0.4818,25.4253,3.1376,1.1337,0.0647,1.0559,77.4736,1.924,0.9475,0.7174
OP1046,0.4112,0.417,17.6882,2.8286,0.9911,0.0918,0.9985,63.8412,2.1267,0.9018,0.5753
OP1047,0.8456,0.0292,13.9843,1.56,0.9948,0.0935,0.9063,92.3454,0.2586,0.9813,1.0
OP1048,0.5494,0.4401,19.338,2.1124,1.2159,0.0714,0.9576,72.8492,2.0746,0.9377,0.7279
OP1049,0.6632,0.2481,29.6819,3.7212,1.1706,0.0722,0.8906,82.1045,1.5369,0.9492,0.5727
OP1050,0.7484,0.5317,9.0022,1.2349,0.9226,0.095,1.0213,75.799,1.9742,0.8842,0.8219
OP1051,0.5913,0.2509,11.845,1.8475,0.8826,0.061,0.9875,78.12,1.1139,0.9484,0.5323
OP1052,0.6101,0.2466,14.4793,2.3,1.1226,0.0808,0.9648,78.5587,1.7315,0.9489,0.7361
OP1053,0.3177,0.4789,33.3529,3.4747,0.9264,0.0785,0.85,68.215,2.5072,0.9246,0.6575
OP1054,0.6859,0.4592,22.0792,2.3907,0.895,0.0876,0.9296,83.4894,1.7434,0.9186,0.7053
OP1055,0.7236,0.4032,26.1616,3.8574,0.9647,0.0665,1.0653,82.2964,1.6695,0.9278,0.6509
OP1056,0.4851,0.0975,13.4191,1.5598,0.9789,0.0867,0.9457,77.8832,0.8866,0.9725,0.7075
OP1057,0.5843,0.4384,13.5163,2.0692,1.0119,0.0751,1.0295,77.1623,1.7386,0.9412,0.7805
OP1058,0.7491,0.1621,23.3937,3.2706,0.888,0.0847,0.8941,85.4565,0.9719,0.9595,0.7211
