Scenario,Target_Share,Realised_Share,Rows,Critical_or_High_Share,Anomaly_Share
NORMAL_OPERATION,0.32,0.323,12920,0.039,0.039
EFFICIENT_OPERATION,0.1,0.0958,3831,0.02,0.017
HIGH_LOAD_OPERATION,0.09,0.09,3602,0.141,0.037
EXCESSIVE_IDLE,0.08,0.0751,3004,0.044,0.882
STEEP_TERRAIN,0.08,0.0806,3224,0.523,0.039
PROXIMITY_HAZARD,0.08,0.0808,3232,0.768,0.119
POOR_WEATHER,0.06,0.0606,2425,0.093,0.038
LOW_VISIBILITY,0.05,0.0516,2065,0.115,0.045
UNSAFE_OPERATION,0.05,0.0501,2005,0.668,0.972
HIGH_FUEL_CONSUMPTION,0.04,0.0407,1629,0.039,0.886
MACHINE_OVERHEATING,0.03,0.031,1242,0.2,0.038
MULTIPLE_SIMULTANEOUS_RISKS,0.02,0.0205,821,0.801,0.438
